"Name","FC","Pvalue","FDR","TestMethod","Paired"
"Dialister",NA,0.745927877045248,0.91866843412699,"Mann每Whitney U test","No"
"Lachnospiraceae unclassified",0.994978581618749,0.7582952945991,0.91866843412699,"Mann每Whitney U test","No"
"Oscillibacter",0.977071107844498,0.75848506807529,0.91866843412699,"Mann每Whitney U test","No"
"Faecalibacterium",0.983602212771603,0.761486970764909,0.91866843412699,"Mann每Whitney U test","No"
"Parasutterella",1.03731467911006,0.780803274713148,0.91866843412699,"Mann每Whitney U test","No"
"Agathobaculum",0.994863384794367,0.780868169007942,0.91866843412699,"Mann每Whitney U test","No"
"Barnesiella",0.990244171259642,0.780868169007942,0.91866843412699,"Mann每Whitney U test","No"
"Clostridium",1.04507724910813,0.826165572687819,0.953267968485945,"Mann每Whitney U test","No"
"Ruminococcaceae unclassified",0.935674930211411,0.859969060183846,0.97354987945341,"Mann每Whitney U test","No"
"Turicimonas",0,0.888600415977194,0.987333795530215,"Mann每Whitney U test","No"
"Intestinimonas",1.05649066448605,0.952617303595019,0.988249007922341,"Mann每Whitney U test","No"
"Parabacteroides",0.998893736585874,0.965426948986253,0.988249007922341,"Mann每Whitney U test","No"
"Streptococcus",1.13005138696592,0.976086704737018,0.988249007922341,"Mann每Whitney U test","No"
"Eggerthella",NA,0.985714731527162,0.988249007922341,"Mann每Whitney U test","No"
"Escherichia",1.04088230163227,0.9880993187524,0.988249007922341,"Mann每Whitney U test","No"
"Phascolarctobacterium",1.02788537830306,0.988249007922341,0.988249007922341,"Mann每Whitney U test","No"
