"","Actinobacteria","Bacteroidetes","Euryarchaeota","Firmicutes","Proteobacteria","Synergistetes","Verrucomicrobia"
"3-Hydroxyglutaric acid",0.258947291520181,0.348458332730755,0.431077526824361,0.0370871783830193,0.387474164607813,0.485210708602162,0.196292451239565
"3-Hydroxyphenylacetic acid",0.948315033451072,0.58127967112049,0.568572149546085,0.7633729539237,0.351025129645615,0.068868960940605,0.609427659312602
"3-Hydroxypropanoic acid",0.85440724043166,0.157905561777683,0.710159684640466,0.388156674688654,0.277929862578645,0.354862716720947,0.0369909971671378
"3-Indoleacetic acid",0.478868794781656,0.878473784818087,0.708970041809361,0.884266649981519,0.475040222548802,0.513355547934112,0.616243829678733
"3-Indolepropionic acid",0.468546127516054,0.733175089662172,0.0628843437135074,0.67850239757501,0.129090390610068,0.732687877105205,0.219804396568722
"3-Isochromanone",0.715262033060452,0.147296203147171,0.959330724692515,0.462144462121902,0.9288541124837,0.987707581152134,0.384704859649693
"3-Methyladipic acid",0.335171060225726,0.165927295889564,0.203051604649723,0.399866435310267,0.0898313021619113,0.218475221362209,0.61396820790328
"3-Methylglutaric acid",0.892966990590659,0.969755817646325,0.730485197236051,0.726276337690832,0.59740297204785,0.476010560103656,0.844766611872378
"3-Methylhistidine",0.492784362633626,0.953185325296848,0.201884472691985,0.395020314572302,0.0351843868235795,0.687836230717888,0.0976018334970692
"3-O-Methylguanosine",0.222876972675915,0.0626664817346381,0.440557184255569,0.114691196892061,0.80525076115669,0.81416571694311,0.609636183553725
"3-O-Methyluridine",0.883277283957795,0.827572702862931,0.5959897476603,0.736369270944611,0.367889898220654,0.880551235786373,0.759516376406399
"4,5,7-Trihydroxyisoflavone",0.0918132961101505,0.0378220287217157,0.298210229811601,0.0408810801173995,0.852487221820714,0.31173384226239,0.663414079772078
"4,6-Dihydroxypyrimidine",0.566187632533938,0.428931370964948,0.94663759598716,0.0933217676468967,0.166706317548219,0.569879457411761,0.355354837932222
"4-Acetylbutyric acid",0.756840669894752,0.399172041748597,0.974575267238773,0.290886367113477,0.477335430332781,0.25387706218108,0.324167959830491
"4-Hydroxybenzoic acid",0.247467024932725,0.367326644639205,0.302009683871952,0.462897810882742,0.964880535562788,0.267959330622615,0.463229909509026
"4-Hydroxyhippuric acid",0.310840831304328,0.704189908910049,0.581542259165313,0.548649020553972,0.380492752659033,0.965576223962238,0.487397503920284
"4-Hydroxymandelonitrile",0.536067798430724,0.767067135508746,0.926975256505889,0.944408887342231,0.844305483904465,0.082603614794817,0.52235808452128
"4-Hydroxyquinoline",0.161689564919391,0.482713461334189,0.365249119041561,0.98438746889163,0.0721944846973781,0.387526296348583,0.541398966985464
"4-Isopropylbenzoic acid",0.15469713044889,0.215283929599953,0.738882981143061,0.0248736698640071,0.336060093490222,0.363439065863525,0.0135918514100042
"4-Pregnen-17.alpha., 20.alpha.-diol-3-one",0.0374121822215621,0.0121325496143538,0.481635438903203,0.0794509802351717,0.549552167583538,0.743136079082116,0.300760476638237
"4-Pyridoxic acid",0.923023271915809,0.390208413766153,0.267508169676467,0.704304277892097,0.673581648343047,0.675362600484653,0.346888700930785
"4-Thiouridine",0.491183844673956,0.206074749074996,0.320625202217127,0.400513373488342,0.914275891065233,0.445893168035166,0.534717485955136
"5-(Acetylamino)-2-hydroxybenzoic acid",0.0388202537930273,0.0194659618402184,0.822162964509258,0.0389465265739064,0.156037862186958,0.67028405834122,0.892423659462197
"5-Aminosalicylic acid",1,0.466674383630966,0.301247333298035,0.163605988153089,0.558709882116865,0.172887270691691,0.25339388049997
"5-Hydroxytryptophan",0.567379287660828,0.935165159372745,0.725046444574625,0.423098538150357,0.799075592476571,0.756321516536993,0.628310996913566
"5-Methylcytidine",0.16071570827925,0.123834592855983,0.443430425412852,0.0688235957933323,0.421712241650795,0.984019465083524,0.400238943356826
"5-Methyluridine",0.36499307156735,0.250798330277816,0.812239372190757,0.552493584059175,0.280409961373123,0.870242273019298,0.185412294999746
"6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylic acid",0.865944345374813,0.589741307366796,0.853314214015716,0.224580738334254,0.226511180038741,0.38838625008769,0.463626951387997
"6,7-Dihydroxycoumarin",0.261047443985506,0.404722649659154,0.249224864531235,0.653070819152604,0.373947346104585,0.27256828264412,0.594303615374135
"6-Methyl-1,2,3-oxathiazin-4(3H)-one 2,2-dioxide",0.720707971896363,0.6574568195303,0.766746453147435,0.888109368109484,0.382618909710809,0.397386348459791,0.412349510708907
"8-(3-Octyl-2-oxiranyl)octanoic acid",0.454624170462287,0.34270025739692,0.615066249200714,0.342066804669204,0.515213486385367,0.152249698690698,0.815860903496624
"9,10-Dihydroxy-12Z-octadecenoic acid",0.315811081531164,0.749383295991692,0.834585755606004,0.711589096680593,0.020219709129996,0.870849171967766,0.08011783195668
"Abscisic acid",0.864019525162599,0.533311494254604,0.262601640590781,0.795323723432651,0.102504152585666,0.372238207947347,0.344875300917811
"Acetylenedicarboxylic acid",0.503749442810033,0.837158126256806,0.496889644431462,0.165150902897259,0.204538640483625,0.114737478336755,0.0157127421077434
"Aconitic acid",0.144794574248512,0.0081943786466423,0.226103065174775,0.00317429510960632,0.72626301862727,0.66998658371821,0.261004451599845
"Adenine",0.690689629937512,0.551278461638163,0.860825127085669,0.22409989449422,0.693405058775621,0.783197042786252,0.276606944896107
"Adipic acid",0.725356368144763,0.879438837491694,0.314374500898698,0.449438434302132,0.484255817272314,0.265577261487586,0.308923958244131
"Ala-Ala",0.0905706434197908,0.488898212484752,0.740114295139316,0.844815631429428,0.0657986254168537,0.359776275590628,0.307050952311548
"Ala-Ile",0.346540760600296,0.342091540061676,0.519564598869728,0.0310888052577381,0.353603382980669,0.972346319025581,0.090632587622602
"Ala-Leu",0.422452418144211,0.995120814627118,0.859572451403873,0.30717669211063,0.163605988153089,0.737937770790879,0.0980160872862812
"Alanine",0.839071144918188,0.601678106682368,0.545938109915082,0.217913084289548,0.192611094533499,0.343956649002682,0.216599250035606
"Ala-Val",0.144112418406702,0.530075554581258,0.538489858163982,0.0888527695080437,0.375979151164672,0.945951001897914,0.12261196235374
"Albendazole",0.883283152327169,0.644643457417504,0.051541407075427,0.621892730424576,0.85246506758281,0.870836206822769,0.665478799421015
"alpha-Hydroxyhippuric acid",0.125350784218301,0.816141552197898,0.607708751270924,0.467719768065752,0.75632687693203,0.816833160406728,0.70415681393647
"Anacardic acid diene",0.65440004235022,0.0713543150974623,0.139285801861555,0.042337730329788,0.845286965252706,0.414675653361906,0.804865335815199
"Arabinose",0.963905624582438,0.138237083406815,0.487761588371282,0.730881842415776,0.919138228429512,0.997541426704003,0.442061654852207
"Arabitol",0.829515384319479,0.268056949037253,0.0963471481892175,0.187895127537387,0.197409851843339,0.51235440932249,0.476427767989975
"Arachidonyl dopamine",0.990729223220536,0.0329095570502482,0.774104761189736,0.0744870510486522,0.531267016461293,0.645649882349242,0.154048819808806
"Arginine",0.49122800058306,0.624118573863186,0.298967660804867,0.9288541124837,0.968780668926329,0.784975789728064,0.186323251639898
"Asparagine",0.403674006401563,0.71250328553258,0.811002023668554,0.762427093123881,0.284617228224352,0.833673559303414,0.0982753268343834
"Aspartic acid",0.0546855803356521,0.225062288551353,0.298210229811601,0.0277748447028561,0.998048316053928,0.799839765487453,0.464421580124712
"Asp-Phe",0.29317878066418,0.398478344465065,0.133597791631565,0.159789442618153,0.867869928259899,0.87328385492327,0.533691804651376
"Benzoic acid",0.593141131316513,0.666425843427298,0.942832047439507,0.832379639597169,0.739195137392986,0.200009379866684,0.364983871629478
"Benzylsuccinic acid",0.0751417416230633,0.122604485040168,0.353351924879202,0.630218955970604,0.0622183662545117,0.924507089576748,0.304254993457417
"beta-Hydroxyisovaleric acid",0.285206039980129,0.229916697419394,0.50507611873719,0.02855011674581,0.112068873334559,0.31703064053471,0.0362314760852438
"beta-Hydroxymyristic acid",0.942473141717839,0.343994041111426,0.801129630012139,0.951236997585908,0.405446606431127,0.981562245947496,0.476427767989975
"Butyrylglycine",0.775546977744414,0.577069381236929,0.487761588371282,0.366006133216509,0.631966395087657,0.939206730207532,0.89904783062737
"Carboxyibuprofen",0.929336618219885,0.336398085564571,0.988556810172236,0.501367645106783,0.957080604388203,0.414899090549714,0.899807555829439
"Carnosine",0.646016270970216,0.373304086546174,0.596064449098487,0.105250222728371,0.807630823079571,0.24029752316795,0.867016932195407
"Cellobiose B",0.511656533694095,0.822840625717723,0.688852235520844,0.503749442810033,0.615446515658086,0.28290019552488,0.991779887138524
"Cerivastatin",0.811380101782582,0.544609789327376,0.229171393501453,0.997071736531868,0.673055434739339,0.697744246180929,0.538077783534817
"Chenodeoxycholic acid 3-sulfate",0.0111570110821182,0.0153088112812005,0.818700490657702,0.121511339410407,0.236361801058532,0.911180207254447,0.689521727056627
"Cholesterol 3-sulfate",0.553750416967832,0.68436850170388,0.539550894517812,0.996096643304355,0.462144462121902,0.44014492649565,0.625381556046623
"Cholic acid",0.170420480051894,0.516409064474189,0.402329872575287,0.863050539264124,0.313407128833934,0.307586718988944,0.279065431395772
"Citraconic acid",0.877508905251363,0.249012057923984,0.966951548377894,0.338935077323726,0.377320927008502,0.555745718924932,0.970208225942381
"Citrulline",0.0150406199070856,0.490450769911754,0.519564598869728,0.236333475668774,0.964880535562788,0.975417959648441,0.368460315387638
"Coniferylaldehyde",0.481128971022296,0.828544017104088,0.0759309968057504,0.616275613187764,0.52238639473353,0.530990321859482,0.922274858700567
"Cordycepin",0.0215984861552236,0.0803484854317218,0.144650158104125,0.0273603303408474,0.969749696296587,0.157426955620879,0.294043056178413
"Cortodoxone",0.97170624376464,0.827607084687159,0.406910784610659,0.492005865038279,0.145521130855989,0.390972788713397,0.20710919145813
"Creatinine",0.397390855168582,0.162027893466345,0.067991269398139,0.605500359073797,0.874120569939456,0.668844296237844,0.154124403140955
"Cyclohexanesulfamic acid",0.965366258309575,0.413876109521307,0.435316255202221,0.205192605594892,0.767569418691379,0.553645708698524,0.688914742023424
"Cysteic Acid",0.534121972544288,0.741972796148693,0.531090823956147,0.231878302654103,0.277375222323222,0.766648900869728,0.192169821733915
"Cytidine",0.866907042156366,0.884266649981519,0.734091428248245,0.56535450231271,0.959031873630387,0.522914823733724,0.647536429345216
"Cytidine-5-monophosphate",0.347325791969689,0.115467525615401,0.143216662420152,0.653858305056905,0.252210617595995,0.381580282429772,0.22128795879512
"Daidzein",0.425325139056764,0.149807893090927,0.442494819562171,0.223619756771308,0.29721839785309,0.710723497335451,0.892932961443527
"Dehydrocholic acid",0.925938215414757,0.957082774467585,0.0626565024046966,0.234842017115289,0.956108316439713,0.47072637959288,0.0342082735615843
"Dehydroepiandrosterone sulfate",0.286877758242873,0.156388558923808,0.841440297921034,0.254970019585832,0.731790994950257,0.193625238608544,0.762009111023982
"Dihydrocapsaicin",0.43071733203342,0.432168003680568,0.57400439835487,0.0895690077564089,0.274037881653744,0.493743471098024,0.0965545421157519
"Dihydroorotic acid",0.454647176667111,0.279598124182917,0.361825710170275,0.126382314819944,0.501389437056567,0.408028270863312,0.16097022973768
"Dodecanedioic acid",0.617176862494496,0.557054430330288,0.30892617356902,0.208626535528601,0.096915632042315,0.975417959648441,0.783740779746533
"E-4031",0.342724988783609,0.0661847722125404,0.916232869706977,0.382039382435308,0.425325139056764,0.265916698259681,0.944043585542422
"Enterolactone",0.673581648343047,0.820935785656165,0.133165964683998,0.784006430707116,0.0152716271650897,0.717062608830978,0.801633452624383
"Epicatechin",0.964878759228138,0.734098282078532,0.883421969029221,0.7308687294822,0.286877758242873,0.348350151707364,0.0362842414767139
"Epitestosterone sulfate",0.48958568027741,0.328856103692243,0.980926235623381,0.696065680097014,0.433914755884027,0.565595542791797,0.610262059830573
"Ethyl sulfate",0.150893866136307,0.817129151872976,0.87965389362669,0.584657788535082,0.499819224959221,0.276233010915504,0.78274985842092
"Ethyl-beta-glucuronide",0.195195169942229,0.671326680480234,0.812239372190757,0.825214374354491,0.515213486385367,0.258490630448168,0.766438035474215
"Ethylmalonic acid",0.51882562912408,0.158281041508492,0.443453684367506,0.102776274829442,0.394330802337185,0.794480427145258,0.323523574385073
"Ezetimibe",0.656634056452621,0.103048947571037,0.396023852379118,0.266974406659856,0.342724988783609,0.152616517394189,0.710937492215676
"FAHFA 36:2",0.26213867685343,0.588892699046118,0.305071383759955,0.350382355896415,0.835246030316143,0.926343293194809,0.425592566221158
"Ferulic acid",0.130389176896408,0.6875114350428,0.101148152954042,0.530862735428125,0.567001616006234,0.616757256964145,0.42481137621952
"Flavin adenine dinucleotide",0.699243379378922,0.663685790880651,0.584921582718636,0.800958565130683,0.794338262592056,0.776048820067645,0.912809205763017
"Galactonic acid",0.611129624876391,0.115006549886113,0.58941352899123,0.0105703768460048,0.875579670858765,0.439221641665741,0.344875300917811
"gamma-Aminobutyric acid",0.734572963669572,0.204990071911322,0.554509900480553,0.0584428571201558,0.29721839785309,0.526458613367141,0.250654827756107
"gamma-Glutamylleucine",0.0779620292845475,0.530075554581258,0.553434984534655,0.215097717288082,0.774608593492545,0.525444903226495,0.316170733817235
"gamma-Glutamylmethionine",0.696124268386684,0.618909249498255,0.983472374660366,0.820935785656165,0.716177759536305,0.912887138652299,0.218085455797127
"gamma-Glutamyltyrosine",0.435441914769616,0.504121609946106,0.717297964879674,0.82569107479448,0.272391329435894,0.345333988385004,0.702282660475002
"Gentisinic acid",0.726276337690832,0.629345978901002,0.975846121670261,0.963905624582438,0.369976191503336,0.371399522134734,0.750737166286065
"Ginkgolic acid I",0.123677864721863,0.0614709000619822,0.823395400780604,0.149786679899881,0.437266664963733,0.581496716198359,0.163466042345952
"Ginkgolic acid II",0.481943244130562,0.81617813567847,0.823404197100247,0.798159608362451,0.56202764291677,0.216104925247522,0.280998862214301
"Glucose",0.751254777081311,0.452410875822083,0.180056406945206,0.266974406659856,0.327720830841495,0.020562718123311,0.872088579849452
"Glucuronic acid A",0.653973267097645,0.125429812506574,0.825887930600032,0.152716584699376,0.618909249498255,0.928792148342864,0.691310040407645
"Glucuronic acid B",0.468189589025654,0.310741360157704,0.855816468920331,0.323422839942202,0.834290331665916,0.628541429438362,0.997431175414393
"Glutamic acid",0.0540236667814777,0.0836172587803961,0.898548138132079,0.024933140249713,0.48348431925442,0.43645819555145,0.269101119166123
"Glutamine",0.0648410442006946,0.53736983635031,0.551288094104308,0.332054182280593,0.475804645824577,0.766648900869728,0.387931518146447
"Glutaric acid",0.270230697402625,0.866907042156366,0.966951548377894,0.233851268956126,0.646898487010452,0.726316487061625,0.52943314327895
"Glu-Thr",0.180126432186001,0.478462794388837,0.622405784166206,0.12493585327341,0.692032050284852,0.473582260071307,0.212402690689659
"Glu-Val-Phe",0.0299498046376523,0.573711103308781,0.475727188848728,0.127981802392328,0.615446515658086,0.531541486832326,0.104974462121489
"Glyceraldehyde",0.727196685941931,0.21138313129868,0.0770924354539118,0.133201592134876,0.440585146987597,0.0182795496449237,0.980992390710117
"Glyceric acid",0.243887014639897,0.130572298765564,0.0826425231399823,0.0355349425912168,0.461391769930145,0.410689367995855,0.208790864110485
"Glycocholic acid",0.214164871570139,0.0290436714831792,0.870858372275253,0.0275837699013168,0.359446274133187,0.158695942766087,0.976883642040074
"Glycodeoxycholic acid",0.242373914602823,0.0821848508375216,0.626215080772575,0.273815593660595,0.191086628043371,0.2418043742033,0.546362356090817
"Gly-Tyr",0.691127079115216,0.941983515968629,0.909907345535839,0.953670107420234,0.333897367330719,0.806990008631318,0.358065560917091
"Gly-Tyr-Ala",0.276268111826339,0.367326644639205,0.474731421182105,0.272416002463406,0.946367425222757,0.903115649927051,0.299938050429754
"Guanine",0.773670524823373,0.375309323710941,0.686498929938214,0.451666768719085,0.416028808624392,0.927567638541667,0.30487491230256
"Guanosine",0.0375757709022824,0.200062424437276,0.370420444965541,0.21138313129868,0.868833002338221,0.440606968888499,0.382562524151473
"Guanosine-3,5-cyclic monophosphate",0.272665303037656,0.66239733800963,0.468757261522545,0.866900366428525,0.678053087428283,0.020391903602015,0.150299525027298
"Halometasone",0.854880108603573,0.764295879347484,0.47969883149674,0.586331096326997,0.348433640963607,0.335592897151017,0.0703784200271411
"Histamine-trifluoromethyltoluide",0.828561113239332,0.449438434302132,0.942832047439507,0.811426973177526,0.523632504381998,0.817169145894883,0.568786067166194
"Histidine",0.326489223570096,0.428931370964948,0.360121260952774,0.280155658543665,0.791546578933605,0.209389404128577,0.300552346880328
"Homogentisic acid",0.399172041748597,0.450180547437121,0.459927434013942,0.341458809852411,0.49668632502224,0.611062698492012,0.511729693650842
"Homoserine",0.382039382435308,0.842899908098801,0.944100428743193,0.576228979638613,0.123854242431167,0.556266250643919,0.274283035041221
"Homovanillic acid",0.8085794571059,0.843857659057309,0.251611685945597,0.914284535949689,0.264817981330092,0.435539186178295,0.959429281825538
"Hypoxanthine",0.166316477906078,0.729959991138684,0.998728557532886,0.843857659057309,0.205442197363935,0.988322158906221,0.396612878633341
"Ile-Ile",0.145168008861127,0.534933046663233,0.455048432002947,0.610267793184047,0.656634056452621,0.650115900605163,0.835697317629225
"Indolelactic acid",0.391761524473934,0.459461681300553,0.515693762929915,0.665867882131582,0.0577998318468329,0.947698418605049,0.305713131125248
"Indoxyl sulfate",0.470041994973736,0.233555767398122,0.832087774482603,0.437974366183006,0.612387223221223,0.956069790145722,0.958142277630206
"Inosine",0.0226588231876748,0.0235636061132261,0.70066172837688,0.0768676843880407,0.725356368144763,0.216104925247522,0.64335877134835
"Isoleucine",0.84577382388773,0.937607151304987,0.217425653986343,0.450180547437121,0.0586184057741439,0.87328385492327,0.0654047653784384
"Isomaltose A",0.580359539126548,0.783963734724198,0.946626806066085,0.800011956432403,0.548730392326567,0.252792638864668,0.650261197800422
"Isorhamnetin",0.192588047124512,0.0803964052333979,0.194105783964968,0.0450439844209991,0.379651458651002,0.556506531871918,0.16631938582729
"Isoxanthopterin",0.540627184312191,0.14587488297766,0.811011415032992,0.199618605230278,0.787774120974568,0.467857240476093,0.877165274080949
"Kaempferol",0.576228979638613,0.53736983635031,0.986014813865381,0.776485676329795,0.940526488686914,0.69981939185828,0.757599546552602
"Ketoisovaleric acid",0.949288949315455,0.51882562912408,0.66196864440436,0.357492215969204,0.29779838414749,0.277977486437229,0.124922368112135
"Kynurenic acid",0.52684920868573,0.989266038496362,0.294441524232935,0.859210881922042,0.649547987445213,0.276581332115855,0.551323883274162
"Lactose A",0.594806829423375,0.922529725481027,0.914959677833521,0.49001817265125,0.966827151258088,0.25234922499941,0.800616929435662
"Lactulose",0.322811729956027,0.733649628307843,0.774115895558822,0.28803714974318,0.862095478385444,0.352827448043971,0.922538419393701
"Leu-Asp",0.218857157578731,0.499035058444226,0.731686644006923,0.419590629441281,0.707950456377898,0.645666635572124,0.699903387971396
"Levocetirizine",0.0137856029084453,0.106655511626438,0.327682921490008,0.151653981453967,0.28334272503053,0.145111626800257,0.868491696323973
"Liquiritigenin",0.661077983827193,0.19434649229052,0.417039142651273,0.395020314572302,0.858249748122619,0.0398917998681374,0.450229979762052
"L-Kynurenine",0.514040710742236,0.48734819786247,0.504049097669193,0.227966438112825,0.176260927173219,0.0214721098553352,0.74242967150707
"LPE 14:0",0.000755899511128089,0.28239303336917,0.822162964509258,0.58381243892511,0.631966395087657,0.829171098208441,0.543118875582907
"LPE 18:1",0.00689355101084654,0.796268732290823,0.695929417527095,0.283516063973443,0.388839886456284,0.953312611372554,0.250927837686632
"LPG 15:0",0.135117664309918,0.443432490647278,0.93647945341961,0.830436068541868,0.601604239145864,0.704346362218927,0.739453505768862
"LPI 16:0",0.914284535949689,0.867869928259899,0.78391056606429,0.671790009439423,0.238833484658388,0.747861333413198,0.951221422874135
"Lysine",0.974632183681477,0.671790009439423,0.419825944901743,0.272416002463406,0.996096643304355,0.972346319025581,0.808619287353108
"Maleic acid",0.230872006530676,0.383030643649092,0.573458140961479,0.840020005510414,0.00388210053772786,0.547944872103128,0.924836424275527
"Malic acid",0.495123647788814,0.114710195707015,0.79866387968498,0.0456995291635494,0.885232712797974,0.699247109502762,0.724933019753771
"Maltotriose",0.59484426498085,0.951236997585908,0.33922538742394,0.65131668765722,0.836201962286185,0.216104925247522,0.717682619236022
"Mannitol",0.625859043731934,0.757772845916114,0.453104686307018,0.219330248801678,0.138918963982175,0.605102477921099,0.176718185813468
"Methioninesulfoxide",0.456141354871266,0.764307469098742,0.830860389801807,0.314332089126586,0.330812475931737,0.423237787084827,0.097464047400583
"Methyl-4-hydroxy-3-methoxybenzoate",0.27596708328378,0.296324962420669,0.57400439835487,0.0464850875730078,0.948312421127975,0.802513047725146,0.502968731520965
"Methylmalonic acid",0.925938215414757,0.538183286130123,0.396924599547546,0.559538466405949,0.434008612499144,0.564625610360362,0.911294479044392
"Muramic acid",0.238833484658388,0.831424648812421,0.59495368770949,0.88233502059112,0.440585146987597,0.688974306495107,0.33392976729281
"N-2-Fluorenylacetamide",0.0931781166387118,0.659282829600214,0.823395400780604,0.405422612037939,0.320349689403321,0.733559905856253,0.368261515802333
