"HMDBID","KEGGID","Name","Origin","Links","Diff"
"HMDB0000619","C00695","Cholic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:cholate KEGG:C00695,D10699); Food related(FooDB:FDB012810 HMDB:HMDB0000619 T3DB:T3D4343); Drug related(DrugBank:DB02659 KEGG:C00695,D10699)",0
"HMDB0000634","C02226","Citraconic acid","Microbiota; Food related; Drug related","Microbiota(BIGG:citac KEGG:C02226); Food related(FooDB:FDB022155 HMDB:HMDB0000634); Drug related(DrugBank:DB04734)",0
"HMDB0000904","C00327","Citrulline","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:citr__L ChEBI:16349 KEGG:C00327,D07706); Food related(FooDB:FDB011841 HMDB:HMDB0000904 T3DB:T3D4295); Drug related(DrugBank:DB00155 KEGG:C00327,D07706 T3DB:T3D4295)",0
"HMDB0141782","C02666","Coniferylaldehyde","Microbiota; Food related","Microbiota(BIGG:conialdh); Food related(FooDB:FDB001513)",0
"HMDB0250451","C08431","Cordycepin","Drug related","Drug related(DrugBank:DB12156)",0
"HMDB0000015","C05488","Cortodoxone","Host; Food related; Drug related","Food related(FooDB:FDB021872 HMDB:HMDB0000015); Drug related(KEGG:C05488,D03595)",0
"HMDB0000562","C00791","Creatinine","Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:creat KEGG:C00791,D03600); Food related(FooDB:FDB021814 HMDB:HMDB0000562); Drug related(DrugBank:DB11846 KEGG:C00791,D03600); Environment(HMDB:HMDB0000562)",0
"HMDB0031340","C02824","Cyclohexanesulfamic acid","Food related; Drug related","Food related(HMDB:HMDB0031340); Drug related(KEGG:C02824,D02442)",0
"HMDB0002757","C00506","Cysteic Acid","Host; Microbiota; Food related","Microbiota(BIGG:Lcyst KEGG:C00506); Food related(FooDB:FDB023061)",0
"HMDB0000089","C00475","Cytidine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:cytd ChEBI:17562 KEGG:C00475,D07769); Food related(FooDB:FDB021809 HMDB:HMDB0000089); Drug related(DrugBank:DB02097 KEGG:C00475,D07769)",0
"HMDB0000095","C00055","Cytidine-5-monophosphate","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:cmp ChEBI:17361,181630 KEGG:C00055,G10621); Food related(FooDB:FDB030736 HMDB:HMDB0000095); Drug related(DrugBank:DB03403)",0
"HMDB0003312","C10208","Daidzein","Host; Microbiota; Food related; Drug related","Microbiota(ChEBI:28197 KEGG:C10208); Food related(FooDB:FDB002608 HMDB:HMDB0003312 T3DB:T3D3964); Drug related(DrugBank:DB13182)",0
NA,"C13154","Dehydrocholic acid","Drug related","Drug related(DrugBank:DB11622 KEGG:C13154,D01693)",0
"HMDB0001032","C04555","Dehydroepiandrosterone sulfate","Host; Microbiota; Food related; Drug related","Microbiota(KEGG:C04555); Food related(FooDB:FDB022381 HMDB:HMDB0001032 T3DB:T3D4242); Drug related(DrugBank:DB05804)",0
"HMDB0038457","C16952","Dihydrocapsaicin","Food related","Food related(FooDB:FDB017816 HMDB:HMDB0038457)",0
"HMDB0000528","C00337","Dihydroorotic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:dhor__S KEGG:C00337); Food related(FooDB:FDB022096); Drug related(DrugBank:DB02129)",0
"HMDB0000623","C02678","Dodecanedioic acid","Food related","Food related(FooDB:FDB022148 HMDB:HMDB0000623)",0
"HMDB0251662","C13776","E-4031","Unknown",NA,0
"HMDB0006101","C18165","Enterolactone","Food related","Food related(FooDB:FDB002488 HMDB:HMDB0006101 T3DB:T3D3967)",0
"HMDB0001871","C09727","Epicatechin","Food related; Drug related","Food related(FooDB:FDB003761 HMDB:HMDB0001871); Drug related(DrugBank:DB12039)",1
"HMDB0013230",NA,"Epitestosterone sulfate","Food related","Food related(FooDB:FDB029347 HMDB:HMDB0013230)",0
"HMDB0031233",NA,"Ethyl sulfate","Food related","Food related(HMDB:HMDB0031233)",0
NA,NA,"Ethyl-beta-glucuronide","Unknown",NA,0
"HMDB0000622",NA,"Ethylmalonic acid","Food related","Food related(FooDB:FDB022147 HMDB:HMDB0000622 T3DB:T3D4461)",0
"HMDB0015108","D01966","Ezetimibe","Drug related","Drug related(DrugBank:DB00973 KEGG:D01966)",0
"HMDB0000055","C06422","FAHFA 36:2","Microbiota; Food related","Microbiota(BIGG:cellb HMDB:HMDB0000055 KEGG:C06422,G00289); Food related(FooDB:FDB007497 HMDB:HMDB0000055)",0
"HMDB0000954","C01494","Ferulic acid","Microbiota; Food related; Drug related","Microbiota(BIGG:fer ChEBI:17620,193350 HMDB:HMDB0000954 KEGG:C01494); Food related(FooDB:FDB012802 HMDB:HMDB0000954); Drug related(DrugBank:DB07767)",0
"HMDB0001248","C00016","Flavin adenine dinucleotide","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:fad ChEBI:16238 KEGG:C00016,D00005); Food related(FooDB:FDB022511 HMDB:HMDB0001248); Drug related(DrugBank:DB03147 KEGG:C00016,D00005)",0
"HMDB0000565","C00880","Galactonic acid","Microbiota; Food related","Microbiota(BIGG:galctn__D KEGG:C00880); Food related(FooDB:FDB022122 T3DB:T3D4960)",1
"HMDB0000112","C00334","gamma-Aminobutyric acid","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:4abut ChEBI:16865,30566 HMDB:HMDB0000112 KEGG:C00334,D00058); Food related(FooDB:FDB030489 HMDB:HMDB0000112 T3DB:T3D4250); Drug related(DrugBank:DB02530 KEGG:C00334,D00058); Environment(HMDB:HMDB0000112)",1
"HMDB0011171",NA,"gamma-Glutamylleucine","Food related","Food related(FooDB:FDB003617 HMDB:HMDB0011171)",0
"HMDB0034367",NA,"gamma-Glutamylmethionine","Food related","Food related(FooDB:FDB012741 HMDB:HMDB0034367)",0
"HMDB0011741",NA,"gamma-Glutamyltyrosine","Food related","Food related(FooDB:FDB000717 HMDB:HMDB0011741)",0
"HMDB0000152","C00628","Gentisinic acid","Host; Microbiota; Food related","Microbiota(ChEBI:17189 HMDB:HMDB0000152 KEGG:C00628); Food related(FooDB:FDB000844 HMDB:HMDB0000152)",0
"HMDB0141782","C02666","Ginkgolic acid I","Microbiota; Food related","Microbiota(BIGG:conialdh); Food related(FooDB:FDB001513)",0
NA,"C08431","Ginkgolic acid II","Drug related","Drug related(DrugBank:DB12156)",0
"HMDB0000122","C00221","Glucose","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:glc__D KEGG:C00221,D00009); Food related(FooDB:FDB011824 HMDB:HMDB0000122); Drug related(DrugBank:DB02379 KEGG:C00221,D00009)",0
"HMDB0000252","C00319","Glucuronic acid A","Host; Microbiota; Food related; Drug related","Microbiota(KEGG:C00319); Food related(FooDB:FDB005463 HMDB:HMDB0000252); Drug related(DrugBank:DB03203)",1
"HMDB0000528","C00337","Glucuronic acid B","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:dhor__S KEGG:C00337); Food related(FooDB:FDB022096); Drug related(DrugBank:DB02129)",0
"HMDB0000148","C00025","Glutamic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:glu__L ChEBI:16015 KEGG:C00025,D00007); Food related(FooDB:FDB012535 HMDB:HMDB0000148 T3DB:T3D4296); Drug related(DrugBank:DB00142 KEGG:C00025,D00007)",1
"HMDB0000641","C00064","Glutamine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:gln__L ChEBI:18050 KEGG:C00064,D00015); Food related(FooDB:FDB030965 HMDB:HMDB0000641 T3DB:T3D4319); Drug related(DrugBank:DB00130 KEGG:C00064,D00015 T3DB:T3D4319); Environment(HMDB:HMDB0000641 T3DB:T3D4319)",0
"HMDB0000661","C00489","Glutaric acid","Microbiota; Food related; Drug related","Microbiota(BIGG:glutar HMDB:HMDB0000661 KEGG:C00489); Food related(FooDB:FDB001477 HMDB:HMDB0000661 T3DB:T3D4359); Drug related(DrugBank:DB03553)",0
"HMDB0028829",NA,"Glu-Thr","Food related","Food related(FooDB:FDB111871)",0
NA,NA,"Glu-Val-Phe","Unknown",NA,0
"HMDB0001051","C02154","Glyceraldehyde","Food related; Drug related","Food related(FooDB:FDB022392 T3DB:T3D4964); Drug related(DrugBank:DB02536)",0
"HMDB0000139","C00258","Glyceric acid","Host; Microbiota; Food related","Microbiota(BIGG:glyc__R HMDB:HMDB0000139 KEGG:C00258); Food related(FooDB:FDB012242 HMDB:HMDB0000139 T3DB:T3D4330)",1
"HMDB0000138","C01921","Glycocholic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:glyc__R HMDB:HMDB0000138 KEGG:C01921); Food related(FooDB:FDB012346 HMDB:HMDB0000138); Drug related(DrugBank:DB02691)",0
"HMDB0000631","C05464","Glycodeoxycholic acid","Microbiota; Food related","Microbiota(HMDB:HMDB0000631); Food related(FooDB:FDB022152 HMDB:HMDB0000631)",0
"HMDB0028853",NA,"Gly-Tyr","Food related; Drug related","Food related(FooDB:FDB111885); Drug related(DrugBank:DB15991)",0
NA,NA,"Gly-Tyr-Ala","Unknown",NA,0
"HMDB0000132","C00242","Guanine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:gua ChEBI:16235 KEGG:C00242); Food related(FooDB:FDB004222 HMDB:HMDB0000132); Drug related(DrugBank:DB02377)",0
"HMDB0000133","C00387","Guanosine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:gsn ChEBI:16750 KEGG:C00387); Food related(FooDB:FDB003632 HMDB:HMDB0000133); Drug related(DrugBank:DB02857)",0
NA,NA,"Guanosine-3,5-cyclic monophosphate","Unknown",NA,0
"HMDB0253041","D07202","Halometasone","Drug related","Drug related(KEGG:D07202)",1
"HMDB0033897","C10794","Histamine-trifluoromethyltoluide","Food related","Food related(FooDB:FDB012092 HMDB:HMDB0033897)",0
"HMDB0000177","C00135","Histidine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:his__L ChEBI:15971 KEGG:C00135,D00032); Food related(FooDB:FDB011856 HMDB:HMDB0000177 T3DB:T3D4363); Drug related(DrugBank:DB00117 KEGG:C00135,D00032 T3DB:T3D4363); Environment(HMDB:HMDB0000177 T3DB:T3D4363)",0
"HMDB0000130","C00544","Homogentisic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:hgentis HMDB:HMDB0000130 KEGG:C00544); Food related(FooDB:FDB030907 HMDB:HMDB0000130 T3DB:T3D4287); Drug related(DrugBank:DB08327)",0
"HMDB0000719","C00263","Homoserine","Microbiota; Food related; Drug related","Microbiota(BIGG:hom__L ChEBI:15699 HMDB:HMDB0000719 KEGG:C00263); Food related(FooDB:FDB006683 HMDB:HMDB0000719); Drug related(DrugBank:DB04193)",0
"HMDB0000118","C05582","Homovanillic acid","Host; Microbiota; Food related","Microbiota(HMDB:HMDB0000118 KEGG:C05582); Food related(FooDB:FDB001783 HMDB:HMDB0000118)",0
"HMDB0000157","C00262","Hypoxanthine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:hxan ChEBI:17368 KEGG:C00262); Food related(FooDB:FDB003949 HMDB:HMDB0000157 T3DB:T3D4150); Drug related(DrugBank:DB04076)",0
"HMDB0028910",NA,"Ile-Ile","Microbiota; Food related","Microbiota(ChEBI:74067); Food related(FooDB:FDB111939)",0
