"","Actinobacteria","Bacilli","Bacteroidia","Betaproteobacteria","Clostridia","Coriobacteriia","Deltaproteobacteria","Erysipelotrichia","Firmicutes unclassified","Gammaproteobacteria","Methanobacteria","Negativicutes","Proteobacteria unclassified","Synergistia","Verrucomicrobiae"
"2-Hydroxynicotinic acid",-0.274139536667878,-0.104482602013835,0.233400809716599,-0.139906866605281,-0.231578947368421,-0.461538461538462,0.111341667231008,0.173975530075585,0.0151821862348178,-0.193561453653616,-0.218120025907033,-0.194939271255061,-0.258767681171425,-0.108249191109135,-0.150165200044532
"2-Hydroxypalmitic acid",-0.0575396275320905,-0.137076705589724,0.11437825815549,-0.0467729694079694,-0.228452857218532,-0.132800243097348,-0.261767385362891,0.123839491780547,-0.0578976669601243,-0.211895725045195,-0.123968078171354,-0.479477706975715,-0.0337807186074718,-0.166844800156052,-0.0350118983851004
"2-Hydroxyphenylacetic acid",0.0726119547440363,-0.0566230670935262,-0.216812592008018,-0.177474059247122,0.187863758527956,-0.0637684094141229,-0.229881566960219,-0.166777282783146,-0.165595425081754,0.263528223742304,-0.00553899923744348,0.00536464396658494,0.118846710009924,-0.179149365089227,-0.11606684122184
"2-Hydroxyquinoline",-0.0262734028455841,0.0871706699062791,0.0034412955465587,-0.298845926352235,-0.069838056680162,0.0973684210526316,-0.287767599943415,-0.0162404228775342,-0.246963562753036,0.0822028767608451,0.00158249111903531,-0.0973684210526316,0.0348026153474227,0.166262597416151,0.182670796931389
"2-Ketogluconic acid",-0.139106466228945,0.0279027611615893,0.234615384615385,-0.208544243999188,-0.142712550607287,0.175910931174089,-0.224505289016706,0.239546237443629,-0.386032388663968,-0.0279408792930951,0.0482659791305769,-0.127935222672065,0.163981734666386,0.0921839401318079,0.0717254646060823
"2-Methylglutaric acid",-0.188394555288103,-0.00814679158002608,0.055668016194332,0.146385911079042,-0.181174089068826,-0.12004048582996,0.0837086898182217,0.0718638712330886,-0.0603238866396761,-0.280623613769782,0.0250561093847257,-0.147773279352227,-0.132045217053457,0.125716963997182,0.118192481795164
"2-Propanamidoacetic acid",-0.0173128082839918,0.141659507782545,-0.0389695835308529,-0.00971905857827935,-0.0958550535161499,-0.114074599063042,-0.51634780848264,0.282800675492297,-0.230477251168187,0.158339662671134,-0.20797623327258,0.0182195455468923,0.19510924141164,0.00688545602478167,0.147881305964465
"3-(1-Pyrazolyl)-alanine",-0.192191627500013,-0.0901375677464291,0.328389941529408,-0.00698628057393009,-0.347927320911398,-0.014779571967723,0.0292569347520666,0.340491562558191,-0.371007748367842,-0.134460588437379,-0.128728823015003,0.0125525131780662,-0.0499595746184182,-0.389769018143042,0.013856948522182
"3-(3-Hydroxyphenyl)propionic acid",-0.0407339579001304,-0.0521394661121669,0.114574898785425,0.0303705209707556,-0.0510121457489879,-0.33502024291498,0.139784402223657,-0.0897283363983762,-0.0319838056680162,0.125329016539318,0.0126599289522825,0.106477732793522,-0.17544612560436,0.103786621393211,-0.283278283689401
"3-(Hydroxymethyl)phenol",0.114983234741369,0.0135454120643065,-0.0346188887288334,0.305659614809487,0.110233829899706,0.0721732972621586,-0.0712658805387235,0.138971184867211,-0.246583663577305,-0.00992204115645237,-0.122127926437342,0.081587205600701,0.148540314232485,-0.100736770133417,-0.245095693893428
"3,4-Dihydroxybenzoic acid",-0.226684475714226,-0.370475347101686,0.196153846153846,-0.0016197611184403,-0.116396761133603,-0.159311740890688,0.242218736076184,0.0740969293787496,-0.145344129554656,-0.432071278343949,0.149809159268676,-0.420647773279352,0.0628494288921104,0.0694885855765357,-0.0513695006539846
"3,4-Dihydroxyphenylacetic acid",0.124448539547282,-0.240648035147486,-0.115289235432835,0.0219691219946523,0.103244091432389,0.0418037350603695,-0.0643789857273003,0.0703448916425564,-0.237562629991979,-0.126145281130584,-0.0940311061023144,-0.177843008477165,0.0901842821005536,-0.0103281840371725,0.00596854279928653
"3-[3-Tert-butylsulfanyl-1-[(4-chlorophenyl)methyl-5-propan-2-ylindol-2-yl-2,2-dimethylpropanoic acid",0.204108119507168,-0.253811094716499,0.0966745974601062,0.0851516226474667,-0.123905452660911,-0.0581059884210482,0.0931868804127243,-0.215624352675492,-0.240421119337961,-0.0137700602616593,-0.129124505872632,0.185858178991367,0.112101914358951,-0.18732886885396,-0.0149761635951275
"3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid",-0.310713988673289,-0.317740952035615,0.499721646472262,0.142343712094383,-0.426843464284693,-0.403461714166181,0.168185038971556,-0.0436483454636353,-0.146363682560035,-0.336826123853494,-0.308073862349238,-0.0862391822552901,-0.0648999260519307,-0.0736998811541445,-0.0566478660325141
"3-Deoxyuridine",-0.182691801182085,-0.278416602247391,0.30587044534413,0.0255112376154347,-0.420242914979757,-0.307085020242915,0.0427147123377141,-0.127487319588643,-0.142105263157895,-0.124721606119903,-0.262166028720183,-0.055668016194332,0.0407395320831595,-0.240341254700495,0.0866460664557874
"3-Hydroxyglutaric acid",-0.20000373328964,-0.100205536434321,0.154251012145749,0.102449890741349,-0.317408906882591,-0.162955465587045,-0.147881978022276,0.178847656938845,-0.146963562753036,-0.10892893521511,-0.129764271760895,-0.148785425101215,0.0966284379057854,0.115134298670847,0.211446243355821
"3-Hydroxyphenylacetic acid",0.119554166436883,-0.159473445179011,-0.0910931174089069,0.00425187293590578,0.0842105263157895,-0.0238866396761134,-0.0806720988937396,-0.126269287872828,0.125910931174089,-0.185260177921609,-0.0941582215826008,-0.202024291497976,-0.0501567103536386,0.294402099259121,0.0844079761783316
"3-Hydroxypropanoic acid",-0.0101834894750326,-0.15295601191499,0.230566801619433,-0.154484716671243,-0.145344129554656,-0.0427125506072875,-0.371375070064154,0.0326838510410375,-0.0538461538461538,-0.0253087674756296,-0.0614534051225378,-0.164372469635628,-0.0153540950062159,-0.152237378308961,-0.335180662980875
"3-Indoleacetic acid",0.204891808237656,-0.0162935831600522,-0.0253036437246964,-0.0570965794250205,-0.042914979757085,-0.0506072874493927,0.162052735669858,-0.0801870879578249,-0.288259109311741,0.209961534977824,0.061717153642377,0.273886639676113,-0.0450386786849,0.107866685133485,-0.0828093402658632
"3-Indolepropionic acid",0.0970535664390836,-0.0261728925234465,0.0563793714978833,-0.0868640860433717,-0.059922060909779,-0.173693000880373,-0.22087255795121,0.0982595311832533,-0.318639607675649,0.0633763611458633,-0.300688530032646,-0.24242117547115,-0.149146990942686,-0.0564862410921903,-0.201011994990257
"3-Isochromanone",-0.287785412564421,-0.0718954356937302,0.236437246963563,-0.0670176162754673,-0.141093117408907,0.0204453441295547,-0.0520269245061257,-0.154690027908513,0.0289473684210526,-0.0896942719336315,0.00843995263485497,0.0829959514170041,0.0970378804392845,-0.00255003983767103,-0.143131202029671
"3-Methyladipic acid",-0.280453300142398,-0.0346238642151108,0.226315789473684,-0.0967807268268078,-0.139271255060729,-0.0767206477732793,0.386051926199151,0.0602925699328455,-0.0340080971659919,-0.400688406674168,0.208361330672982,0.00769230769230769,-0.225602835957999,0.201580649167895,0.0833422189033527
"3-Methylglutaric acid",-0.0932807635912987,0.0938917729598006,-0.0062753036437247,0.157724238908124,-0.0742914979757085,-0.0408906882591093,0.0521281442036084,0.0203005285969177,0.0398785425101215,-0.295403933975549,-0.0569696802852711,0.0143724696356275,-0.0569125121563736,0.117556836516635,0.0323990211593596
"3-Methylhistidine",0.229943192346236,-0.260289990981833,-0.0097165991902834,0.115205509549066,-0.138461538461538,-0.037246963562753,-0.0695379321706388,0.229598978431139,-0.234210526315789,0.193966393933226,0.208888827712661,0.00121457489878543,0.187934122876083,0.0664285377713304,0.269103711932181
"3-O-Methylguanosine",-0.478851909125468,-0.0115079255064181,0.300926160616171,-0.116729943132876,-0.24130775879884,-0.0290500531775449,-0.278064581435368,0.0652695026351569,-0.25871754676587,-0.0275373326384582,-0.12713322059275,-0.207196720747158,0.158462280013232,-0.0388900756955261,0.0843589576006301
"3-O-Methyluridine",-0.219396780091947,0.316974363809721,0.0360396848852966,-0.114823815309842,0.0587163405434608,0.10730917409667,-0.0368514304426425,0.0442641135952635,-0.35331039395979,0.260631834750911,0.0875822395797324,0.076331242706499,0.0765812576125731,-0.024867922919403,-0.0506337213402946
"4,5,7-Trihydroxyisoflavone",0.346238642151108,0.20305878013215,-0.333805668016194,0.0269285285940699,0.317004048582996,0.19331983805668,0.189382053990197,-0.116931044718246,-0.0568825910931174,-0.0307754612503656,0.170909040855813,0.263765182186235,0.126313021584469,0.166262597416151,0.0719386160610781
"4,6-Dihydroxypyrimidine",-0.130552335069918,0.125256920542901,0.130364372469636,0.0368495654445168,-0.251619433198381,0.0840080971659919,-0.315501797053684,0.222290788136249,-0.241497975708502,0.0362421550251016,-0.0110774378332472,-0.0402834008097166,0.118943055981486,-0.093841466026294,0.152083563139494
"4-Acetylbutyric acid",0.0594715785341904,-0.0692477284302217,-0.138866396761134,0.172504559113892,0.17246963562753,-0.0491902834008097,-0.150108811366896,-0.1159160182884,0.051417004048583,-0.194371334212836,0.00527497039678436,-0.104453441295547,0.268184859441904,0.187172924085054,0.162101681524296
"4-Hydroxybenzoic acid",0.13727343812344,0.101223885381824,-0.148380566801619,-0.297631105513405,0.150202429149798,0.139473684210526,-0.165494205384271,-0.0633376492223832,-0.14412955465587,0.0228791257979692,-0.169590298256617,-0.000809716599190283,0.0958095528387872,0.181817840425945,0.120963450710109
"4-Hydroxyhippuric acid",-0.0141607846425055,-0.041769220887966,0.0627784579640897,0.127405309480071,-0.0688537926057758,-0.118874047822325,-0.0348843118460848,0.215983582082133,-0.0303766732084305,-0.256633588412162,-0.0910301010998783,-0.378797114909128,0.0593932180641912,-0.00714300403558963,-0.114562009969788
"4-Hydroxymandelonitrile",-0.0519463128351407,0.0169080155502615,0.048997773832819,-0.0339206156338599,-0.0290544650620228,-0.128366068636394,-0.0441407243763521,-0.0587819306689394,-0.208038068649676,0.0144795463750506,0.0151686107705862,-0.092731324030707,-0.220529450397704,0.281453876323704,0.105584633658025
"4-Hydroxyquinoline",0.00244403747400782,0.185135838656093,-0.115789473684211,-0.160153880585784,0.00809716599190283,0.206275303643725,-0.280074902934727,0.104953732846064,-0.0566801619433198,0.21988257182827,0.149017913709158,0.00647773279352227,0.150674852327665,0.142292222942044,0.100820638213007
"4-Isopropylbenzoic acid",0.389965284167141,0.0181284462214027,-0.202955765793307,0.0437379773427288,0.366838750740621,0.18250835198271,0.00749101585208173,-0.0298447979188897,0.144953943449384,0.0442442039323438,-0.0551290207892105,0.178965483253151,-0.000716596967351754,-0.149574976413289,-0.391971913152025
"4-Pregnen-17.alpha., 20.alpha.-diol-3-one",0.442256647706237,-0.0708914386926626,-0.397853824716898,0.150870797893884,0.277384091532901,0.282850785307637,-0.251885601487073,0.0152284794479118,0.131808061013079,0.114013770757392,0.11607284763579,0.104677062279204,0.124495734300654,-0.0541993191833141,0.170022706395305
"4-Pyridoxic acid",0.105297281171837,-0.353570754573132,0.141497975708502,0.0988054282248581,-0.062753036437247,-0.0534412955465587,-0.111948985415905,0.0326838510410375,-0.0273279352226721,-0.206924482880748,-0.18198647868906,0.161133603238866,0.102565354641522,-0.0692335815927686,-0.154747956326941
"4-Thiouridine",-0.251557652622836,-0.212347249278791,0.207004758627089,0.0257163107524378,-0.166717279930961,-0.0526369068391619,-0.030166523296221,-0.171353805738387,-0.218443163382522,-0.036347069134351,0.163276860614934,-0.0323919426702535,0.248249663689715,-0.125665932868965,-0.102482935280944
"5-(Acetylamino)-2-hydroxybenzoic acid",-0.380862506366219,-0.186765196972098,0.372672064777328,-0.0016197611184403,-0.328744939271255,-0.173684210526316,-0.0145756364375138,0.243403337877043,-0.308906882591093,-0.229398668399107,0.0371885412973297,-0.126315789473684,-0.169713930135373,-0.0703810995197205,-0.0223809027745576
"5-Aminosalicylic acid",0.036864231899618,-0.0824862647477641,-0.12004048582996,0.0635756238987817,0.263765182186235,0.138461538461538,-0.125006326391177,0.161795212917434,-0.0609311740890688,0.167037865339156,-0.169854046776456,-0.214777327935223,-0.0397159257494118,-0.222745979820565,-0.187360128941297
"5-Hydroxytryptophan",-0.117535314326982,0.171210453538697,0.0134635826829258,-0.121298030834322,-0.102141014489264,-0.0519309617769995,-0.107106702310334,0.436223090134928,-0.297919728089102,0.083126613785458,0.0581653800713284,-0.095864757900231,-0.0761678760575884,0.0513273449378617,0.0799972297376737
"5-Methylcytidine",-0.173433602986106,-0.208975779992654,0.250619970967251,0.293596561218855,-0.2790627059599,-0.188471076712852,-0.218139487802409,0.0524795223365103,0.0592135230273999,-0.103264997394218,-0.126341934987401,-0.166303962964133,0.124374463963874,0.00331521956748747,0.13855545784058
"5-Methyluridine",-0.0936928448310146,-0.112635093894676,0.188369857015369,-0.170184765313412,-0.12065387939942,-0.115896553617731,0.332017410669096,-0.362382775128321,0.0476744775143681,-0.0266261708967445,-0.0393005183990038,-0.0780403867591885,-0.0849636255884898,-0.0270317903195132,-0.216572838716968
"6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylic acid",-0.0124238571595398,-0.18432115949809,-0.0890688259109312,0.0589188106832658,0.200202429149798,0.0238866396761134,0.0259122425555801,0.0456761893430648,0.212753036437247,-0.319295410472544,0.0305948283013493,-0.254453441295547,-0.00982662080397817,-0.142037218958277,-0.120856874982611
"6,7-Dihydroxycoumarin",0.00397176190044518,-0.110700132968818,0.137253909786588,0.0322956217340741,-0.0565818108928488,-0.169239334191133,-0.0177143435570402,0.0531900767975462,-0.138569765853864,-0.132624653516104,-0.188985378744203,0.0141707576475829,-0.102672911403922,-0.180105678426002,-0.0879827157287684
"6-Methyl-1,2,3-oxathiazin-4(3H)-one 2,2-dioxide",0.0784287468295262,-0.215729981538879,-0.0732941906094235,-0.0522478736330498,-0.0277384091532901,-0.279206322791146,0.0207542396723674,-0.0998988251783012,-0.203482490504062,-0.245646010530579,0.0490671583187658,-0.0240939466367994,-0.201896042796784,-0.1393878961585,0.135058789343481
"8-(3-Octyl-2-oxiranyl)octanoic acid",-0.0318759352522908,-0.0217937704280838,0.156080773518377,0.0129587447710391,-0.170352750863443,0.104458727802182,-0.00981880757161656,0.0054814201279914,0.0325927425894406,-0.369425466168139,0.0830849885616523,-0.164886887199375,0.168494129781511,-0.233659225285415,0.0385290753918229
"9,10-Dihydroxy-12Z-octadecenoic acid",0.184737848395066,-0.115893975454016,0.0528366820859876,-0.176664137698932,0.0714611064228108,0.167113720543995,0.0452474946856969,0.0253769450369972,0.0103244091432389,-0.307061506957513,-0.0345528047669094,-0.0441317881024724,-0.134406313732153,-0.0269042818746098,-0.283665654648234
"Abscisic acid",0.201022082237144,0.11568444043637,-0.102834008097166,0.35493015507823,0.0149797570850202,-0.0931174089068826,-0.0190293031267541,0.359522361451412,-0.109716599190283,0.0344199237668563,0.183832718327935,0.0823886639676113,0.246484405166453,0.146882294649852,0.155387410691929
"Acetylenedicarboxylic acid",0.0841156230637693,-0.0293284496880939,-0.0340080971659919,-0.19092934183615,0.259311740890688,0.204655870445344,0.141808796173311,0.0724728870909962,-0.152834008097166,0.103462241440374,0.112093120931668,0.109514170040486,-0.140848231523687,-0.25666150966159,-0.384312073357404
"Aconitic acid",-0.337599761537841,-0.250628359922964,0.417430032418798,-0.0241964062521746,-0.442734956789482,-0.198188167671195,-0.226946047170766,0.125260600702618,-0.321777418297614,-0.0623639592106258,-0.198348925074167,-0.0325927425894406,-0.00818926511696287,-0.0704484158091087,0.184438630610095
"Adenine",-0.0164972529495528,0.0529541452701695,-0.0983805668016194,0.097995547665638,0.175101214574899,-0.123684210526316,-0.0426134926402313,-0.14047965789067,-0.267611336032389,0.0670176162754673,-0.029012337182314,0.152631578947368,0.120580826115482,0.045518211102428,0.178620919286469
"Adipic acid",-0.119757836226383,0.00916514052752934,-0.0251012145748988,0.127353717937368,-0.130566801619433,-0.15668016194332,0.129459993080418,0.134998515169503,-0.0836032388663968,-0.307552142363851,0.16537032193919,-0.116599190283401,-0.203288217882298,0.18271035436913,0.167217316444195
"Ala-Ala",0.234831267294252,0.317521201831517,-0.11417004048583,0.0854423989977257,0.0226720647773279,0.0975708502024291,-0.230679690563153,0.257410702608916,-0.294534412955466,0.457582515959384,-0.0548596921265573,0.191295546558704,0.165414783533633,-0.150707354406358,-0.167856770809182
"Ala-Ile",-0.273732197088876,-0.0480660703221539,0.156275303643725,-0.0939461448695372,-0.344736842105263,-0.110323886639676,-0.121261197584316,0.0466912157729107,-0.224493927125506,0.0757238322870839,-0.106290653495205,-0.092914979757085,0.00368498280149182,-0.00573758963475983,0.274645649762071
"Ala-Leu",-0.242570719295277,-0.00692477284302217,-0.00101214574898785,0.0358372147454916,-0.178542510121457,-0.135222672064777,0.0221671137487189,-0.0107592801563664,-0.243117408906883,0.102652360881154,-0.0292760857021532,0.0178137651821862,0.0311176325459309,0.0553358644774614,0.268783984749687
"Alanine",-0.0651743326402087,0.157844086863005,0.0862348178137652,-0.0362421550251016,-0.189473684210526,-0.0236842105263158,-0.314489600078857,0.232441052434708,-0.177327935222672,0.0354322744658815,-0.0996969404992244,-0.12995951417004,0.165414783533633,0.155679932089817,0.2023873065185
"Ala-Val",-0.312022117514999,-0.0177192716865567,0.103643724696356,0.049200243972624,-0.287449392712551,-0.258502024291498,0.0356293335139226,0.000406010571938354,-0.242712550607287,0.00141729097863526,-0.101543180138099,-0.0552631578947368,0.0161729800732141,0.0112201752857525,0.251412141167531
"Albendazole",-0.0118146416481195,0.0643694269104443,0.0762261485732565,0.0389814205936679,-0.101331174929389,-0.0699498919842235,-0.338732538686557,-0.390032374284011,0.0537531007867188,-0.095681668729912,-0.314040294670823,-0.233841172913974,0.194924241953828,-0.026907005669289,0.0714698768009463
"alpha-Hydroxyhippuric acid",-0.219396780091947,0.0451219933058183,0.0384693265629571,0.173349534224382,-0.104677062279204,-0.116622800527701,-0.205618833046723,0.316244756534968,-0.334379435888019,0.0520453624949372,0.0848123193520602,-0.240129585808774,0.0153572040666925,-0.0383221068578492,0.0627858144619654
"Anacardic acid diene",0.102858449216657,0.0262747325721758,-0.291917607540207,-0.186788157051306,0.374310441291153,0.184928387300956,-0.0699463508452273,-0.092169064374374,0.273495622598349,0.0266261708967445,-0.241078347763016,-0.0204463788915124,0.048419030004043,-0.134393900928146,0.0408738600629711
"Arabinose",-0.0580458900076858,-0.0543798337966741,0.2417004048583,-0.196193565471081,-0.0202429149797571,0.113157894736842,-0.14433928861038,0.123021203297321,-0.0728744939271255,0.005466693774736,0.114466857610221,0.0111336032388664,0.258767681171425,0.000510007967534207,-0.126718539994995
"Arabitol",-0.177803726234069,-0.103871592645333,0.181781376518219,0.183842886942974,-0.189473684210526,0.0989878542510121,-0.146667341652483,0.239546237443629,-0.00121457489878543,0.128973479055809,0.270078484315359,0.0194331983805668,-0.0153540950062159,-0.108121689117252,-0.117446451702679
