"","Actinobacteria","Bacilli","Bacteroidia","Betaproteobacteria","Clostridia","Coriobacteriia","Deltaproteobacteria","Erysipelotrichia","Firmicutes unclassified","Gammaproteobacteria","Methanobacteria","Negativicutes","Proteobacteria unclassified","Synergistia","Verrucomicrobiae"
"2-Aminophenol",0.759147431873557,0.0142155132978861,0.179531091011752,0.0179913597971146,0.210001694495213,0.264280678402804,0.370948219318994,0.877162932027672,0.783065262573166,0.49738097861655,0.082342881877814,0.112360061739472,0.307606876983914,0.183190166351467,0.695124676335557
"2-Deoxycytidine",0.324109063396158,0.119943997910331,0.100346916970484,0.741922334285852,0.112068873334559,0.821888079842694,0.922047909454504,0.386110694452943,0.143062480219873,0.487259451644772,0.326252086274665,0.086920424471542,0.515686401370608,0.0501603716153138,0.960455571380181
"2-Deoxyribose",0.167572337332788,0.277728630302872,0.10748709031415,0.711547176666556,0.00503210212663241,0.00101854262853318,0.256546260171327,0.0871864243608909,0.00481167348747835,0.787732133860956,0.268921059344783,0.415318503992971,0.895676096087597,0.69581686465309,0.417301219187632
"2-Deoxyuridine",0.335945551435077,0.340372734531739,0.0753558104758856,0.765196117274186,0.157156543587816,0.857288815734951,0.679850985097728,0.371930457476878,0.305404134049515,0.669937126699459,0.423557952825921,0.436194723257292,0.476187531973149,0.155167501800498,0.743893641399868
"2-Dodecoxyethyl hydrogen sulfate",0.13043670445554,0.931353753893004,0.224580738334254,0.617971416972629,0.202291882151385,0.60339185692976,0.275690940687347,0.0974967150932258,0.126701012431138,0.203094966135991,0.28625860013731,0.521226331895803,0.889806141397198,0.0471104322544615,0.489411842909428
"2-Hydroxybenzaldehyde",0.967116175378993,0.153979801809169,0.66239733800963,0.473400568115521,0.515611859228108,0.444976528121944,0.116758509661232,0.96673447283409,0.52763388552758,0.644609862746746,0.191007118762955,0.968779089654154,0.789705831406078,0.922973327460028,0.332101845393354
"2-Hydroxycinnamic acid",0.325960454533865,0.491683970604389,0.135869969444906,0.970725085578695,0.0508096354400529,0.666425843427298,0.0402819721773051,0.692575139607857,0.0394549663746822,0.919121908558205,0.148437529574945,0.948315033451072,0.856661276338417,0.38838625008769,0.361527145982691
"2-Hydroxyisobutyric acid",0.248654263637913,0.739514620200606,0.482713461334189,0.171346875191012,0.322201342443052,0.883300752126123,0.289434707092832,0.830951803082192,0.13419763818109,0.775502697401502,0.419825944901743,0.578751843439294,0.782571231636402,0.418282595159034,0.502576219392373
"2-Hydroxynicotinic acid",0.0912526584236433,0.526733196300682,0.152716584699376,0.395613908193456,0.156037862186958,0.00310151236106515,0.499797388323982,0.289494188973378,0.926910076996616,0.237734496606837,0.182214383270388,0.234346287429677,0.111687599877688,0.511854206322766,0.361527145982691
"2-Hydroxypalmitic acid",0.727891099219328,0.405335320008958,0.488100725705143,0.777369776446678,0.161858657208594,0.42028131981317,0.107450206040732,0.452584281556481,0.72626301862727,0.195320973658585,0.452111437132179,0.00201178222555676,0.838232412527281,0.310018414772081,0.832419011306936
"2-Hydroxyphenylacetic acid",0.660452420596179,0.732064245704044,0.184914156347143,0.279753128223282,0.252097045748685,0.699741223252842,0.159179198572143,0.310217043941724,0.313706989725772,0.10502035024503,0.973303124083702,0.974143195140459,0.471149646875847,0.275165072219362,0.48165827570542
"2-Hydroxyquinoline",0.873853018557207,0.59772476188461,0.983411816542516,0.064594100719245,0.672685606177464,0.555401273092977,0.0756623399034502,0.921830674151455,0.129596331629628,0.618837998584346,0.992371453541973,0.555401273092977,0.833406595891024,0.31173384226239,0.265682540975119
"2-Ketogluconic acid",0.398349432991977,0.866098710496427,0.150531237958388,0.202646361043884,0.386111250778535,0.284078665249809,0.169431489408442,0.141893792828567,0.0152135964999158,0.865917446789332,0.77045167590742,0.437655504402416,0.318511937622092,0.57674268139866,0.664352674309486
"2-Methylglutaric acid",0.250735066052256,0.960742255375278,0.736420737353698,0.373873994450484,0.26968617710938,0.466674383630966,0.612405283391644,0.663743154778732,0.715262033060452,0.0835520525537952,0.87965389362669,0.369312739915029,0.422951937034658,0.445706996338423,0.473611830954054
"2-Propanamidoacetic acid",0.916686476689826,0.389662056757164,0.813792475573767,0.953173488991954,0.561592526800978,0.489263983984868,0.000765468462012864,0.0810829364220136,0.158071586350779,0.335672724964374,0.203906634962824,0.91233948772316,0.233930596026279,0.966816707724772,0.368958978427398
"3-(1-Pyrazolyl)-alanine",0.241135784121014,0.58526712936766,0.0412445627747602,0.966331075478205,0.0299741849175663,0.928843336028535,0.859663397621949,0.0339199419311917,0.0200594233474904,0.414442008995689,0.434794631155128,0.939544126854579,0.762625300733765,0.0141753698852987,0.9332750581619
"3-(3-Hydroxyphenyl)propionic acid",0.805520374253411,0.752585924783577,0.48734819786247,0.854378075285464,0.757772845916114,0.0370871783830193,0.396031747522801,0.586978547745908,0.846732235103903,0.447123370971236,0.93902774969304,0.51882562912408,0.285373216270901,0.529505478862853,0.0805489305831175
"3-(Hydroxymethyl)phenol",0.485787449718323,0.934771944492165,0.834273790278223,0.0584501345522339,0.504099894160259,0.662381266344463,0.666378130707576,0.398812860150645,0.130206226611062,0.952196628426269,0.45890358129634,0.621476219073503,0.366805262751964,0.541737124543913,0.132615603699365
"3,4-Dihydroxybenzoic acid",0.165220162876129,0.0202524325097304,0.231386836829066,0.992191795459771,0.480404734337565,0.332676116747435,0.137367699901923,0.653938854148705,0.377320927008502,0.00601850381412583,0.362679749355034,0.00766571485970569,0.703870651545369,0.674232800620965,0.756127473599979
"3,4-Dihydroxyphenylacetic acid",0.450347031373568,0.140014688888396,0.4846195510401,0.89439170286876,0.531671447135562,0.800514908391802,0.69700229650848,0.670444083577358,0.145323519559369,0.444146085262227,0.569096613148677,0.278738455447844,0.585071909894549,0.950242260137281,0.971233638803722
"3-[3-Tert-butylsulfanyl-1-[(4-chlorophenyl)methyl-5-propan-2-ylindol-2-yl-2,2-dimethylpropanoic acid",0.212634528198718,0.118964572574731,0.558235765543844,0.606267937318393,0.452341693397692,0.725316281926461,0.572585397796914,0.187392304096831,0.14040018237435,0.933692520797518,0.433372099513492,0.257287779305724,0.496855669584331,0.253474521047118,0.927899298271431
"3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid",0.0542005755194221,0.0487070490224313,0.00119939683698567,0.387352793863139,0.00672988440276323,0.0108673668032089,0.30609223925902,0.791902539697197,0.373947346104585,0.0360161523823095,0.0563883687038649,0.601659643636567,0.694668447539895,0.655677984165104,0.731951234186523
"3-Deoxyuridine",0.265626636129628,0.0861143209453168,0.0582677273272125,0.877484289764161,0.00773057709178682,0.0572257073659679,0.79625863907415,0.439274736246059,0.388156674688654,0.449345914075566,0.106896398406904,0.736420737353698,0.805494272764256,0.140536045572905,0.599939465084525
"3-Hydroxyglutaric acid",0.222174768424689,0.543881412570999,0.348458332730755,0.534849916421606,0.0489561264611693,0.321591677496113,0.368956778230475,0.275987684010597,0.371970802157657,0.509191632131868,0.431077526824361,0.366006133216509,0.558424581121277,0.485210708602162,0.196292451239565
"3-Hydroxyphenylacetic acid",0.468494777176169,0.332179245647588,0.58127967112049,0.979505310744812,0.610267793184047,0.885232712797974,0.625406182034852,0.443694728128505,0.444999753099794,0.25884915474492,0.568572149546085,0.217442101661155,0.761715798661292,0.068868960940605,0.609427659312602
"3-Hydroxypropanoic acid",0.950938501165965,0.352568967315721,0.157905561777683,0.347719622959478,0.377320927008502,0.796268732290823,0.0199271587882706,0.843418766881852,0.744753681228218,0.878449360292293,0.710159684640466,0.317344262060629,0.926084736886863,0.354862716720947,0.0369909971671378
"3-Indoleacetic acid",0.21084568179835,0.921575590424836,0.878473784818087,0.729907362531756,0.795323723432651,0.759638210280472,0.324316042775884,0.627493236487475,0.0751417416230633,0.199525498499211,0.708970041809361,0.0915637208179023,0.78542715820378,0.513355547934112,0.616243829678733
"3-Indolepropionic acid",0.556686719843776,0.874331747238303,0.733175089662172,0.599018625722584,0.717080150424402,0.290290283277471,0.176622435836706,0.551770720139459,0.0480380517581314,0.701501854688208,0.0628843437135074,0.13702925353942,0.364829231227461,0.732687877105205,0.219804396568722
"3-Isochromanone",0.0756434239356452,0.663604180047605,0.147296203147171,0.685209783630041,0.391579743943032,0.901679699385704,0.75310326390295,0.347071449245439,0.861133748394797,0.587121106544466,0.959330724692515,0.615446515658086,0.556750796907688,0.987707581152134,0.384704859649693
"3-Methyladipic acid",0.0837476485572104,0.834250303303453,0.165927295889564,0.557801756463131,0.397785343814902,0.642492188116458,0.0152080055065344,0.715403674446881,0.837158126256806,0.0114782383109735,0.203051604649723,0.962930765338182,0.16730091288875,0.218475221362209,0.61396820790328
"3-Methylglutaric acid",0.572196942409293,0.56967173974536,0.969755817646325,0.337578465469244,0.65308727145613,0.80478655305343,0.752637965308162,0.902372753016303,0.809528360991912,0.067886283096366,0.730485197236051,0.930798555174136,0.730745560022183,0.476010560103656,0.844766611872378
"3-Methylhistidine",0.159064352268457,0.109521658366683,0.953185325296848,0.484938958693007,0.400561524792547,0.821888079842694,0.67401425084013,0.159706606572448,0.151257132152864,0.236735279813572,0.201884472691985,0.994144992947601,0.251916213018955,0.687836230717888,0.0976018334970692
"3-O-Methylguanosine",0.00204319376978801,0.944566986532434,0.0626664817346381,0.479140530775784,0.138898359322404,0.860645974021252,0.0865285722391136,0.693014398253953,0.111759478076917,0.867836779474557,0.440557184255569,0.205645065096224,0.335293819228277,0.81416571694311,0.609636183553725
"3-O-Methyluridine",0.179605125108579,0.0492836379146335,0.827572702862931,0.486396476442541,0.722544799816272,0.515547717172804,0.823749524612022,0.789032915672107,0.0273603303408474,0.109039689861521,0.5959897476603,0.644186016358782,0.643098301076229,0.880551235786373,0.759516376406399
"4,5,7-Trihydroxyisoflavone",0.0308353314285235,0.215046163334368,0.0378220287217157,0.87073375980144,0.0492612088175153,0.238332057386575,0.24821435187469,0.478378327883044,0.730881842415776,0.852457680618506,0.298210229811601,0.104696579631256,0.443535607019296,0.31173384226239,0.663414079772078
"4,6-Dihydroxypyrimidine",0.428260382584803,0.447386859616721,0.428931370964948,0.823758303864641,0.122293526767018,0.611129624876391,0.0504066249596842,0.173789564559844,0.138577713952575,0.8266187338577,0.94663759598716,0.807630823079571,0.470787622252606,0.569879457411761,0.355354837932222
"4-Acetylbutyric acid",0.71912025029386,0.67529990425537,0.399172041748597,0.293654458122006,0.29375369526673,0.766177485933652,0.361709544982191,0.48223190007547,0.755908832947145,0.235738913248627,0.974575267238773,0.52684920868573,0.0987959667006526,0.25387706218108,0.324167959830491
"4-Hydroxybenzoic acid",0.404655164383648,0.539774479871321,0.367326644639205,0.065741307448465,0.361406752262175,0.397093040151047,0.314007031546413,0.701675787837338,0.381363201597533,0.890043328599314,0.302009683871952,0.996096643304355,0.561779166366541,0.267959330622615,0.463229909509026
"4-Hydroxyhippuric acid",0.931815388645951,0.800676278102424,0.704189908910049,0.43957157099633,0.677046562738411,0.471046908770284,0.833021048652027,0.186640642712111,0.854348892606045,0.11477832780114,0.581542259165313,0.0174069556440763,0.719475317878362,0.965576223962238,0.487397503920284
"4-Hydroxymandelonitrile",0.753473890628365,0.918627872418324,0.767067135508746,0.837571412364774,0.860625017774873,0.436101048527431,0.789607719894064,0.722247175567812,0.203769173086008,0.930284250870049,0.926975256505889,0.574472031386275,0.177312710629844,0.082603614794817,0.52235808452128
"4-Hydroxyquinoline",0.988218527161909,0.259174592225041,0.482713461334189,0.330093502422195,0.960981207640046,0.207713246402927,0.0841834892564428,0.524860594301823,0.731804066493448,0.178619357004009,0.365249119041561,0.968780668926329,0.359881095914813,0.387526296348583,0.541398966985464
"4-Isopropylbenzoic acid",0.0141225360858241,0.912776115452889,0.215283929599953,0.791484664983092,0.0216127557788259,0.266115166258406,0.963900147375871,0.856872504960188,0.37861675076176,0.78912565667723,0.738882981143061,0.275666237628895,0.996545537176266,0.363439065863525,0.0135918514100042
"4-Pregnen-17.alpha., 20.alpha.-diol-3-one",0.00481712717250948,0.66803007929582,0.0121325496143538,0.359249443436044,0.0873337313360636,0.0810267804434832,0.121885556378159,0.92668781418335,0.423792748172306,0.489497177226925,0.481635438903203,0.525959879597498,0.450173919319321,0.743136079082116,0.300760476638237
"4-Pyridoxic acid",0.523497157663105,0.0272388471995906,0.390208413766153,0.549552167583538,0.704304277892097,0.74660938096847,0.497446704764548,0.843418766881852,0.868833002338221,0.206254621880804,0.267508169676467,0.327104666324495,0.534387248337142,0.675362600484653,0.346888700930785
"4-Thiouridine",0.122388367285703,0.194348489331434,0.206074749074996,0.876506990047618,0.310393633755571,0.750300533378771,0.85534583095227,0.296935743251811,0.181551465607817,0.826124511400271,0.320625202217127,0.844800113594023,0.127547391050915,0.445893168035166,0.534717485955136
"5-(Acetylamino)-2-hydroxybenzoic acid",0.0167553110187777,0.254931545524512,0.0194659618402184,0.992191795459771,0.0410127764770327,0.290315074859923,0.929822740844753,0.135395983988897,0.0556905912111778,0.160081220997093,0.822162964509258,0.443525537359388,0.301652179605705,0.67028405834122,0.892423659462197
"5-Aminosalicylic acid",0.823689263875792,0.617625227232717,0.466674383630966,0.700606802098609,0.104696579631256,0.400561524792547,0.448303362095392,0.325095858940638,0.712517214601975,0.309450881285464,0.301247333298035,0.189173118153951,0.81029083550591,0.172887270691691,0.25339388049997
"5-Hydroxytryptophan",0.476091889800516,0.297346141116091,0.935165159372745,0.461984631490779,0.536088546304943,0.753544476068912,0.516345000712545,0.00550073573713172,0.0654673016213883,0.61488850709951,0.725046444574625,0.561552724035856,0.644897154605145,0.756321516536993,0.628310996913566
"5-Methylcytidine",0.29102244210835,0.201692534497052,0.123834592855983,0.0696671931492969,0.0853579968979514,0.25053912547245,0.182174408484758,0.751023378667059,0.720289772530966,0.531587903585178,0.443430425412852,0.311611763405479,0.450618816175432,0.984019465083524,0.400238943356826
"5-Methyluridine",0.57049331754624,0.494797863212933,0.250798330277816,0.300293147495186,0.46438370255046,0.482305955927973,0.0389255410723655,0.0233827010993157,0.773190432254196,0.872173142788383,0.812239372190757,0.636764894503992,0.607066065124046,0.870242273019298,0.185412294999746
"6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylic acid",0.940162643771684,0.261313601812562,0.589741307366796,0.721626193457821,0.2217062617923,0.885232712797974,0.875573422997569,0.782462721440717,0.19347742347066,0.0475545314538546,0.853314214015716,0.118001925823672,0.952655833628644,0.38838625008769,0.463626951387997
"6,7-Dihydroxycoumarin",0.980855232294582,0.502286633649922,0.404722649659154,0.845256016868653,0.732252267134573,0.303026033221509,0.914761174335013,0.747761571220828,0.400189813294715,0.420901552076197,0.249224864531235,0.931767480691323,0.533956438760755,0.27256828264412,0.594303615374135
"6-Methyl-1,2,3-oxathiazin-4(3H)-one 2,2-dioxide",0.635083457697594,0.187171061353399,0.6574568195303,0.752087690242695,0.866880333216416,0.0851905816166443,0.9002016374938,0.545121271571907,0.214070110123795,0.131720683104146,0.766746453147435,0.884243373389114,0.217740410495797,0.397386348459791,0.412349510708907
"8-(3-Octyl-2-oxiranyl)octanoic acid",0.847243042019417,0.895229958890511,0.34270025739692,0.937591389840311,0.299809217848318,0.526828176031436,0.952693435049568,0.973580546172451,0.843849854030684,0.0206375941271135,0.615066249200714,0.315811081531164,0.305191274951224,0.152249698690698,0.815860903496624
"9,10-Dihydroxy-12Z-octadecenoic acid",0.260218092251419,0.482315765329206,0.749383295991692,0.281988980459368,0.665517454745666,0.309228077900259,0.784455828961454,0.87812437367842,0.950260423704515,0.0572457381085196,0.834585755606004,0.789649353470698,0.41463215857764,0.870849171967766,0.08011783195668
"Abscisic acid",0.219780770224636,0.483113352009944,0.533311494254604,0.0266117808171609,0.92788204314755,0.572872923578941,0.908459550013746,0.0245812083280808,0.506115057474158,0.835213128026173,0.262601640590781,0.618042801459084,0.130365928606176,0.372238207947347,0.344875300917811
"Acetylenedicarboxylic acid",0.610671774493057,0.859323788451738,0.837158126256806,0.244298995562457,0.110909822995801,0.21138313129868,0.38915750897458,0.661063689493922,0.35295774628886,0.530799999177375,0.496889644431462,0.506904838943117,0.392410577182946,0.114737478336755,0.0157127421077434
"Aconitic acid",0.0355651267841037,0.123821597789228,0.0081943786466423,0.883754465020707,0.00476623347547012,0.22648719831562,0.164719794333047,0.44737340771754,0.045759954727957,0.706055497181845,0.226103065174775,0.843849854030684,0.960537743650671,0.66998658371821,0.261004451599845
"Adenine",0.920598375307262,0.748844140344957,0.551278461638163,0.552845073242291,0.286336311229034,0.453155646533284,0.79673127342983,0.39366298042622,0.099546960503222,0.685209783630041,0.860825127085669,0.353603382980669,0.464656200480404,0.783197042786252,0.276606944896107
"Adipic acid",0.467731940943004,0.955839577567347,0.879438837491694,0.439758362612642,0.428208764218383,0.340826798316558,0.432168003680568,0.412560076438016,0.612854837593308,0.0568289274596281,0.314374500898698,0.479636442974752,0.214517252792911,0.265577261487586,0.308923958244131
"Ala-Ala",0.150145211617754,0.0488717760813271,0.488898212484752,0.605034354706173,0.891032477673122,0.554575556982528,0.157696448632276,0.113645480917275,0.06873853888301,0.00340171634475217,0.740114295139316,0.243378446684417,0.314242585486772,0.359776275590628,0.307050952311548
"Ala-Ile",0.0917540860524879,0.771376983623334,0.342091540061676,0.569447276719371,0.0316181865210492,0.503749442810033,0.462121633801955,0.77774908958744,0.16945364683131,0.646831658793372,0.519564598869728,0.573711103308781,0.982237343252122,0.972346319025581,0.090632587622602
"Ala-Leu",0.136779636439583,0.966627332642929,0.995120814627118,0.828526915853776,0.276821305429124,0.411777301067975,0.893445352955021,0.948168130505342,0.135869969444906,0.534038739154175,0.859572451403873,0.914284535949689,0.85083561547641,0.737937770790879,0.0980160872862812
"Alanine",0.693440200215214,0.337206818898463,0.601678106682368,0.8266187338577,0.247981319262953,0.88619893921549,0.0511903835812251,0.154459746058679,0.280155658543665,0.830436068541868,0.545938109915082,0.430378621850568,0.314242585486772,0.343956649002682,0.216599250035606
"Ala-Val",0.0531420134329625,0.914737547637531,0.530075554581258,0.766131462910641,0.0760008814136128,0.112068873334559,0.829506883027043,0.998042761352154,0.136543203915119,0.993167796520537,0.538489858163982,0.738269973703972,0.922154302068992,0.945951001897914,0.12261196235374
"Albendazole",0.943091925975445,0.69704514644977,0.644643457417504,0.813736911162503,0.539342656755279,0.672190763935302,0.0349130674712472,0.0141045140135985,0.745180071934056,0.562303889030817,0.051541407075427,0.151921594739293,0.234383068310867,0.870836206822769,0.665478799421015
"alpha-Hydroxyhippuric acid",0.179605125108579,0.785039573123858,0.816141552197898,0.291259984106126,0.525959879597498,0.479546875484683,0.209195532420215,0.0498374983264944,0.0374734178853424,0.753018499579595,0.607708751270924,0.140896598857175,0.926069810876758,0.816833160406728,0.70415681393647
"Anacardic acid diene",0.533213678160159,0.873846685392076,0.0713543150974623,0.254872087601137,0.0188961816991957,0.259718166519495,0.672206430471713,0.576804445381161,0.0920462777074411,0.872173142788383,0.139285801861555,0.901674747512326,0.76974346872188,0.414675653361906,0.804865335815199
"Arabinose",0.725589363644666,0.742309687746329,0.138237083406815,0.231290487946396,0.902648498322887,0.492784362633626,0.380663363657693,0.455599600651165,0.659299027427212,0.973651499754912,0.487761588371282,0.946367425222757,0.111687599877688,0.997541426704003,0.442061654852207
"Arabitol",0.278846373925565,0.529166634157056,0.268056949037253,0.262574782783543,0.247981319262953,0.548811720384475,0.37294604301107,0.141893792828567,0.994144992947601,0.433914755884027,0.0963471481892175,0.906525070487547,0.926084736886863,0.51235440932249,0.476427767989975
"Arachidonyl dopamine",0.239662867410003,0.891336208878777,0.0329095570502482,0.267121638945159,0.0910491140825802,0.772252795645388,0.347449342163065,0.664174138696475,0.668643134128719,0.711990330162849,0.774104761189736,0.786821209468351,0.998519587245335,0.645649882349242,0.154048819808806
"Arginine",0.87870541428623,0.170346905082171,0.624118573863186,0.561948094198579,0.99219337617962,0.207713246402927,0.406824615599689,0.439274736246059,0.0829222862764933,0.852457680618506,0.298967660804867,0.523632504381998,0.561779166366541,0.784975789728064,0.186323251639898
"Asparagine",0.934775238863645,0.192843025136608,0.71250328553258,0.47760632217344,0.765698333937348,0.133346949025836,0.805241094739783,0.678087243647811,0.105231960005751,0.382594573092672,0.811002023668554,0.470064630406518,0.254266164957083,0.833673559303414,0.0982753268343834
"Aspartic acid",0.0912526584236433,0.816027579660311,0.225062288551353,0.697880885922594,0.0437198673482713,0.0790684974198266,0.28602870152205,0.245585879876809,0.0770855874919232,0.881345605717,0.298210229811601,0.245928439824239,0.889806141397198,0.799839765487453,0.464421580124712
"Asp-Phe",0.188545297779962,0.648427927821647,0.398478344465065,0.345804147579638,0.294329334380303,0.486574145688603,0.900221740313614,0.390219551010825,0.086920424471542,0.615374732171989,0.133597791631565,0.104420590723748,0.989144504380921,0.87328385492327,0.533691804651376
"Benzoic acid",0.801707801855094,0.906930071960166,0.666425843427298,0.110259042248319,0.759638210280472,0.385430847660403,0.465895024180934,0.263437021338644,0.305994262487872,0.692440280939819,0.942832047439507,0.375309323710941,0.663772684622338,0.200009379866684,0.364983871629478
"Benzylsuccinic acid",0.620241309788484,0.0654207081221254,0.122604485040168,0.540544785038576,0.652201744628466,0.156783004157191,0.309525405048819,0.502528515001172,0.639854175030405,0.0262439127524683,0.353351924879202,0.163991234092493,0.814133018909384,0.924507089576748,0.304254993457417
"beta-Hydroxyisovaleric acid",0.573883238260603,0.0605545974853321,0.229916697419394,0.737293873775013,0.0259125079025095,0.0426201750013604,0.221205788625202,0.902372753016303,0.0129387919046291,0.35350476223111,0.50507611873719,0.842899908098801,0.305812689319748,0.31703064053471,0.0362314760852438
"beta-Hydroxymyristic acid",0.746975366213079,0.621114364307924,0.343994041111426,0.877484289764161,0.968780668926329,0.660188275422845,0.147632015838401,0.293512605290841,0.818080426269087,0.341992582536662,0.801129630012139,0.0721944846973781,0.34231981990842,0.981562245947496,0.476427767989975
